dataset,model,fold,fold_dir,txt_file,auc_std,auc_mean,acc_mean,acc_std,n_students,success,error
algebra2005,akt,0,akt_tiaocan_algebra2005_3407_0_0.1_256_256_4_4_0.0001_1_1_fd659dba-00e8-4031-bb82-105eb31d5d32_0,D:\sync\docs&works\0612组间auc尝试\best_model_path_question_predictions\best_model_path\algebra2005\akt\akt_tiaocan_algebra2005_3407_0_0.1_256_256_4_4_0.0001_1_1_fd659dba-00e8-4031-bb82-105eb31d5d32_0\qid_test_question_predictions.txt,0.06929564237822604,0.7965629290015823,0.8075180753200704,0.06341669278171622,114,True,
algebra2005,akt,1,akt_tiaocan_algebra2005_42_1_0.05_64_256_4_4_0.0001_1_1_74d0c31e-2dfb-41db-9173-2cfa8fecf230_1,D:\sync\docs&works\0612组间auc尝试\best_model_path_question_predictions\best_model_path\algebra2005\akt\akt_tiaocan_algebra2005_42_1_0.05_64_256_4_4_0.0001_1_1_74d0c31e-2dfb-41db-9173-2cfa8fecf230_1\qid_test_question_predictions.txt,0.06864431228606367,0.7935811217311487,0.8018495039307146,0.06521998015049778,114,True,
algebra2005,akt,2,akt_tiaocan_algebra2005_42_2_0.05_256_256_4_4_0.0001_1_1_6de2603b-e000-4f10-9b6b-907056fe6bab_2,D:\sync\docs&works\0612组间auc尝试\best_model_path_question_predictions\best_model_path\algebra2005\akt\akt_tiaocan_algebra2005_42_2_0.05_256_256_4_4_0.0001_1_1_6de2603b-e000-4f10-9b6b-907056fe6bab_2\qid_test_question_predictions.txt,0.06678463414539734,0.801153445776124,0.8040368204643663,0.061879272692365504,114,True,
algebra2005,akt,3,akt_tiaocan_algebra2005_42_3_0.1_256_256_4_4_0.0001_1_1_07311e2c-64a0-4c05-809f-5954dea58134_3,D:\sync\docs&works\0612组间auc尝试\best_model_path_question_predictions\best_model_path\algebra2005\akt\akt_tiaocan_algebra2005_42_3_0.1_256_256_4_4_0.0001_1_1_07311e2c-64a0-4c05-809f-5954dea58134_3\qid_test_question_predictions.txt,0.06912608056199533,0.7975046305267184,0.8039141865600629,0.0676943001024151,114,True,
algebra2005,akt,4,akt_tiaocan_algebra2005_42_4_0.05_256_256_4_4_0.0001_1_1_ec2b2186-ec4b-459d-9396-bd5c3f0f2e2a_4,D:\sync\docs&works\0612组间auc尝试\best_model_path_question_predictions\best_model_path\algebra2005\akt\akt_tiaocan_algebra2005_42_4_0.05_256_256_4_4_0.0001_1_1_ec2b2186-ec4b-459d-9396-bd5c3f0f2e2a_4\qid_test_question_predictions.txt,0.06601247595571132,0.7962561605390613,0.8061186286192182,0.06373801981935,114,True,
algebra2005,atkt,0,atkt_tiaocan_algebra2005_3407_0_0.1_64_64_256_256_10_2.0_0.001_1_1_2ebcebaa-93ce-4bf9-8a53-c1b7085cbc39_0,D:\sync\docs&works\0612组间auc尝试\best_model_path_question_predictions\best_model_path\algebra2005\atkt\atkt_tiaocan_algebra2005_3407_0_0.1_64_64_256_256_10_2.0_0.001_1_1_2ebcebaa-93ce-4bf9-8a53-c1b7085cbc39_0\qid_test_question_predictions.txt,0.06047272027069308,0.8012433880935075,0.801603559057833,0.06448556730237104,114,True,
algebra2005,atkt,1,atkt_tiaocan_algebra2005_3407_1_0.5_64_64_256_256_15_0.5_0.001_1_1_d58f38ea-1909-472c-b9ee-18250771e674_1,D:\sync\docs&works\0612组间auc尝试\best_model_path_question_predictions\best_model_path\algebra2005\atkt\atkt_tiaocan_algebra2005_3407_1_0.5_64_64_256_256_15_0.5_0.001_1_1_d58f38ea-1909-472c-b9ee-18250771e674_1\qid_test_question_predictions.txt,0.05324430109853083,0.795024983165801,0.8036304183624695,0.0661410123751241,114,True,
algebra2005,atkt,3,atkt_tiaocan_algebra2005_3407_3_0.1_64_64_256_256_12_1.0_0.001_1_1_b91baba7-9cc6-4494-baa4-33cb27561755_3,D:\sync\docs&works\0612组间auc尝试\best_model_path_question_predictions\best_model_path\algebra2005\atkt\atkt_tiaocan_algebra2005_3407_3_0.1_64_64_256_256_12_1.0_0.001_1_1_b91baba7-9cc6-4494-baa4-33cb27561755_3\qid_test_question_predictions.txt,0.056071092763964644,0.7983619547495966,0.8017308133592009,0.06737484910787736,114,True,
algebra2005,atkt,2,atkt_tiaocan_algebra2005_42_2_0.05_64_64_256_256_10_1.0_0.001_1_1_a6a5cae7-5ce4-4e8a-b781-6d0b361b33e2_2,D:\sync\docs&works\0612组间auc尝试\best_model_path_question_predictions\best_model_path\algebra2005\atkt\atkt_tiaocan_algebra2005_42_2_0.05_64_64_256_256_10_1.0_0.001_1_1_a6a5cae7-5ce4-4e8a-b781-6d0b361b33e2_2\qid_test_question_predictions.txt,0.06300677539769124,0.8000756997565339,0.8020510544564043,0.0624271977562882,114,True,
algebra2005,atkt,4,atkt_tiaocan_algebra2005_42_4_0.1_64_64_256_256_15_2.0_0.001_1_1_609e5a9c-5147-4f52-b481-883c0584be9e_4,D:\sync\docs&works\0612组间auc尝试\best_model_path_question_predictions\best_model_path\algebra2005\atkt\atkt_tiaocan_algebra2005_42_4_0.1_64_64_256_256_15_2.0_0.001_1_1_609e5a9c-5147-4f52-b481-883c0584be9e_4\qid_test_question_predictions.txt,0.05515805646715795,0.7974355001789939,0.8013883946938775,0.0650055015022812,114,True,
